Time,Emotion
2025-04-13 16:32:59,neutral
2025-04-13 16:32:59,neutral
2025-04-13 16:32:59,neutral
2025-04-13 16:32:59,neutral
2025-04-13 16:32:59,neutral
2025-04-13 16:33:00,neutral
2025-04-13 16:33:00,neutral
2025-04-13 16:33:00,neutral
2025-04-13 16:33:00,neutral
2025-04-13 16:33:00,neutral
2025-04-13 16:33:01,neutral
2025-04-13 16:33:01,neutral
2025-04-13 16:33:01,neutral
2025-04-13 16:33:01,fear
2025-04-13 16:33:01,neutral
2025-04-13 16:33:02,neutral
2025-04-13 16:33:02,fear
2025-04-13 16:33:02,fear
2025-04-13 16:33:02,fear
2025-04-13 16:33:02,fear
2025-04-13 16:33:03,fear
2025-04-13 16:33:03,fear
2025-04-13 16:33:03,fear
2025-04-13 16:33:03,fear
2025-04-13 16:33:03,fear
2025-04-13 16:33:04,fear
2025-04-13 16:33:04,fear
2025-04-13 16:33:04,fear
2025-04-13 16:33:04,fear
2025-04-13 16:33:04,fear
2025-04-13 16:33:05,fear
2025-04-13 16:33:05,fear
2025-04-13 16:33:05,fear
2025-04-13 16:33:05,fear
2025-04-13 16:33:05,fear
2025-04-13 16:33:06,fear
2025-04-13 16:33:06,fear
2025-04-13 16:33:06,fear
2025-04-13 16:33:06,fear
2025-04-13 16:33:06,neutral
2025-04-13 16:33:07,fear
2025-04-13 16:33:07,neutral
2025-04-13 16:33:07,neutral
2025-04-13 16:33:07,neutral
2025-04-13 16:33:07,fear
2025-04-13 16:33:07,neutral
2025-04-13 16:33:08,fear
2025-04-13 16:33:08,fear
2025-04-13 16:33:08,neutral
2025-04-13 16:33:08,neutral
2025-04-13 16:33:08,neutral
2025-04-13 16:33:09,fear
2025-04-13 16:33:09,fear
2025-04-13 16:33:09,fear
2025-04-13 16:33:09,fear
2025-04-13 16:33:09,fear
2025-04-13 16:33:10,neutral
2025-04-13 16:33:10,neutral
2025-04-13 16:33:10,neutral
2025-04-13 16:33:10,neutral
2025-04-13 16:33:10,fear
2025-04-13 16:33:11,fear
2025-04-13 16:33:11,fear
2025-04-13 16:33:11,neutral
2025-04-13 16:33:11,neutral
2025-04-13 16:33:11,fear
2025-04-13 16:33:12,fear
2025-04-13 16:33:12,fear
2025-04-13 16:33:12,surprise
2025-04-13 16:33:12,fear
2025-04-13 16:33:12,neutral
2025-04-13 16:33:12,neutral
2025-04-13 16:33:13,fear
2025-04-13 16:33:13,fear
2025-04-13 16:33:13,neutral
2025-04-13 16:33:13,fear
2025-04-13 16:33:13,neutral
2025-04-13 16:33:14,fear
2025-04-13 16:33:14,neutral
2025-04-13 16:33:14,fear
2025-04-13 16:33:14,neutral
2025-04-13 16:33:14,neutral
2025-04-13 16:33:15,neutral
2025-04-13 16:33:15,neutral
2025-04-13 16:33:15,fear
2025-04-13 16:33:15,neutral
2025-04-13 16:33:15,fear
2025-04-13 16:33:16,sad
2025-04-13 16:33:16,fear
2025-04-13 16:33:16,fear
2025-04-13 16:33:16,sad
2025-04-13 16:33:16,neutral
2025-04-13 16:33:17,neutral
2025-04-13 16:33:17,sad
2025-04-13 16:33:17,fear
2025-04-13 16:33:17,sad
2025-04-13 16:33:17,sad
2025-04-13 16:33:18,sad
2025-04-13 16:33:18,sad
2025-04-13 16:33:18,sad
2025-04-13 16:33:18,sad
2025-04-13 16:33:19,sad
